ISSUER_NAME,ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,AS_OF_DATE,IVA_INDUSTRY,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,CLIMATE_CHANGE_THEME_SCORE,NATURAL_RES_USE_THEME_SCORE,WASTE_MGMT_THEME_SCORE,HUMAN_CAPITAL_THEME_SCORE,PRODUCT_SAFETY_THEME_SCORE,CORPORATE_GOV_THEME_SCORE,BUSINESS_ETHICS_THEME_SCORE,CARBON_EMISSIONS_SCORE,CARBON_EMISSIONS_EXP_SCORE,ENERGY_EFFICIENCY_EXP_SCORE,PROD_CARB_FTPRNT_EXP_SCORE,WATER_STRESS_SCORE,WATER_STRESS_EXP_SCORE,WATER_STRESS_MGMT_SCORE,BIODIV_LAND_USE_EXP_SCORE,TOXIC_EMISS_WSTE_EXP_SCORE,OPPS_CLN_TECH_EXP_SCORE,LABOR_MGMT_SCORE,LABOR_MGMT_WEIGHT,LABOR_MGMT_EXP_SCORE,LABOR_MGMT_MGMT_SCORE,HLTH_SAFETY_WEIGHT,HLTH_SAFETY_EXP_SCORE,HUMAN_CAPITAL_DEV_EXP_SCORE,HUMAN_CAPITAL_DEV_MGMT_SCORE,PROD_SFTY_QUALITY_EXP_SCORE,CHEM_SAFETY_EXP_SCORE,PRIVACY_DATA_SEC_SCORE,PRIVACY_DATA_SEC_EXP_SCORE,PRIVACY_DATA_SEC_MGMT_SCORE,CORP_GOVERNANCE_SCORE,CORRUPTION_INST_SCORE,CORRUPTION_INST_EXP_SCORE,CORRUPTION_INST_MGMT_SCORE,BUS_ETHICS_FRAUD_SCORE,BUS_ETHICS_FRAUD_MGMT_SCORE,ANTICOMP_PRACT_SCORE,ANTICOMP_PRACT_MGMT_SCORE,ACCOUNTING_PCTL_GLOBAL,ACCOUNTING_PCTL_HOME,BOARD_PCTL_GLOBAL,BOARD_PCTL_HOME,CORP_GOVERNANCE_QUARTILE,GOVERNANCE_PCTL_GLOBAL,GOVERNANCE_PCTL_HOME,OWNERSHIP_PCTL_GLOBAL,OWNERSHIP_PCTL_HOME,PAY_PCTL_GLOBAL,PAY_PCTL_HOME
BRAMBLES FINANCE LIMITED,,XS1028952312,AU,20180901,Commercial Services & Supplies,10,9,9.1,10,8.5,10,8.60,,10.00,,7.9,9.20,10,2,1.2,2,10.00,2.4,6.90,2.6,3.8,2.1,10.00,22.00,5.30,8.60,0,4.2,3.60,7.50,4.4,1.9,10.00,2.70,5.80,7.9,9.20,5.20,7.40,5.00,5.00,5.00,5.00,27,13,84,56,1,93,61,99,97,82,81
CIMIC FINANCE (USA) PTY LTD,CIM,US52535PAA75,AU,20180901,Construction & Engineering,5.6,4.2,3.5,7,2.9,9.8,6.70,,7.00,,4.5,1.90,9.8,2.6,2.2,3.1,6.70,4.2,3.90,2.9,3.9,5.3,0.00,0.00,9.70,2.40,28,6.5,6.10,5.00,4.8,1.6,8.30,0.00,3.30,4.5,1.90,8.50,3.40,3.70,3.70,5.00,5.00,62,57,14,1,3,30,1,38,1,77,70
RECALL HOLDINGS LIMITED,RLHCY,US75618L1098,AU,20180901,Commercial Services & Supplies,8.4,5.9,10,4.9,7.2,10,6.10,,3.80,6.00,7.2,,10,1.7,1.9,1.8,6.10,2.8,1.90,1.7,2.7,0.9,5.90,0.00,6.20,5.10,0,0.6,9.00,5.80,4.2,0.8,6.00,6.80,5.80,7.2,7.80,5.00,5.80,5.00,5.00,5.00,5.00,22,24,99,99,1,82,90,44,72,77,72
SUNCORP-METWAY LIMITED,,AU0000SBKHB3,AU,20180901,Property & Casualty Insurance,5.1,4.4,3.7,3.4,8.3,3.7,6.00,,4.60,3.00,8.3,,8.7,0.8,0.1,0.6,6.00,1.8,1.00,0.9,1.4,0,8.30,0.00,5.20,6.50,0,0.5,7.60,5.20,5.2,0,4.60,7.60,5.20,8.3,4.40,4.70,2.10,5.00,5.00,5.00,5.00,37,26,100,100,1,97,81,79,40,60,53
EQUIFAX AUSTRALIA GROUP PTY LIMITED,VEDXX,AU0000VEDXX7,AU,20180901,Professional Services,1.4,4.2,7,2.8,7.6,7,5.00,,4.30,2.00,7.6,,7,1.8,0.7,1.4,5.00,3,1.00,2.5,4.7,0,4.60,0.00,5.90,3.50,0,0.5,4.60,1.90,6.1,0,0.00,7.30,0.00,7.6,7.90,4.70,5.60,4.20,4.20,5.00,5.00,43,47,61,50,1,73,79,52,87,93,91
COVER-MORE GROUP LIMITED,CVOXX,AU0000CVOXX8,AU,20180901,Multi-Line Insurance & Brokerage,8.4,6.7,7,6.3,8.1,7,10.00,,5.70,7.50,8.1,,10,0.6,0.1,0.6,10.00,1.4,6.00,0.9,1.5,0,9.10,0.00,5.60,7.70,0,0.5,7.80,6.50,5.9,0,5.40,8.80,7.20,8.1,6.30,6.00,5.30,5.00,5.00,5.00,5.00,70,75,87,77,1,95,83,90,60,77,74
NISSAN FINANCIAL SERVICES AUSTRALIA PTY LTD,,AU3CB0242972,AU,20180901,Automobiles,2.8,3.4,6.3,1.9,0.2,6.1,7.80,,2.70,1.20,0.2,,10,2.3,1.3,6.18,7.80,3.8,4.60,3,6.6,5.9,2.70,20.00,8.60,4.30,0,3.1,6.00,4.50,9.4,8,3.60,3.40,0.00,0.2,6.10,6.70,5.80,3.30,3.30,3.70,3.70,11,12,2,6,4,0,0,3,1,17,41
AUSNET SERVICES LTD.,AST,AU000000AST5,AU,20180901,Utilities,6.3,6,6.3,4.3,6.2,9.3,5.40,6.40,4.30,,6.2,,9.3,2,6.4,3.7,6.40,0.6,1.40,5.7,3.4,3.4,6.60,0.00,5.70,5.30,0,3.1,7.20,4.50,3.9,4.2,7.50,1.80,2.50,6.2,6.70,5.30,5.00,5.00,5.00,5.00,5.00,50,45,29,5,2,61,8,99,97,60,53
APA Group,APA,AU0000001901,AU,20180901,Utilities,10,6.9,4.4,10,8.3,5.1,3.60,6.20,10.00,,8.3,,5.1,5.2,9.5,3.2,4.20,3.8,1.00,7.7,7.1,0.3,6.10,0.00,5.70,4.80,28,3.6,7.50,4.00,4,3.3,7.80,2.50,3.30,8.3,4.50,5.40,2.90,5.00,5.00,5.00,5.00,39,30,90,69,1,97,82,99,97,93,89
BORAL FINANCE PTY LIMITED,,US09952AAC09,AU,20180901,Construction Materials,7.5,5.5,3.5,7.8,8.4,4.1,6.20,2.70,7.80,,8.4,,4.1,7.1,5.4,7.7,6.70,5.3,5.00,5.5,7.7,2,4.50,0.00,8.50,6.00,25,5.6,4.80,4.50,4.3,5.5,8.80,2.40,4.20,8.4,6.60,6.50,6.10,5.00,5.00,5.00,5.00,37,26,100,100,1,98,84,79,40,77,70
ZURICH FINANCE (AUSTRALIA) LIMITED,,AU3CB0253524,AU,20180901,Multi-Line Insurance & Brokerage,8.4,6.7,7,6.3,8.1,7,10.00,,5.70,7.50,8.1,,10,0.6,0.1,0.6,10.00,1.4,6.00,0.9,1.5,0,9.10,0.00,5.60,7.70,0,0.5,7.80,6.50,5.9,0,5.40,8.80,7.20,8.1,6.30,6.00,5.30,5.00,5.00,5.00,5.00,70,75,87,77,1,95,83,90,60,77,74
WESFARMERS LIMITED,WES,AU000000WES1,AU,20181001,Retail - Food & Staples,5.6,4.6,4.8,3.8,8.2,2.1,7.40,,3.60,4.10,8.2,,9.9,3.4,2.5,6,9.60,4,6.60,2.3,2.4,0.1,1.60,20.00,10.00,4.60,0,2.1,2.80,3.70,6.8,6.3,5.40,5.80,4.20,8.2,10.00,4.50,7.80,3.70,3.70,5.00,5.00,40,31,86,61,1,96,71,79,40,98,96
INSURANCE AUSTRALIA GROUP LIMITED,IAG,AU000000IAG3,AU,20181001,Property & Casualty Insurance,8,5.3,6.1,4,7.9,6.1,7.10,,5.10,3.30,7.9,,10,0.8,0.1,0.6,7.10,1.6,2.10,0.9,1.4,0,7.40,0.00,4.50,4.90,0,0.5,7.90,6.00,5.1,0,2.80,7.70,3.50,7.9,9.80,4.70,7.50,5.00,5.00,5.00,5.00,6,1,99,95,1,92,55,79,40,92,83
DEVINE LIMITED,DVN,AU000000DVN6,AU,20181001,Real Estate Development & Diversified Activities,5.6,4.2,3.5,7,2.9,10,6.70,,7.00,,4.5,1.90,10,2.6,2.2,3.1,6.70,4.2,3.90,2.9,3.9,5.3,0.00,0.00,9.70,2.40,28,6.5,6.10,5.00,4.8,1.6,8.30,0.00,3.30,4.5,1.90,8.50,3.40,3.70,3.70,5.00,5.00,62,57,13,1,3,29,1,38,1,76,56
BRAMBLES LIMITED,BXB,AU000000BXB1,AU,20181001,Commercial Services & Supplies,10,9,9.1,10,8.5,10,8.60,,10.00,,7.9,9.20,10,2,1.2,2,10.00,2.4,6.90,2.6,3.8,2.1,10.00,22.00,5.30,8.60,0,4.2,3.60,7.50,4.4,1.9,10.00,2.70,5.80,7.9,9.20,5.20,7.40,5.00,5.00,5.00,5.00,27,13,82,53,1,92,54,99,97,81,69
SUNCORP GROUP LIMITED,SUN,AU000000SUN6,AU,20181001,Property & Casualty Insurance,5.1,4.3,3.7,3.4,8.1,3.7,6.00,,4.60,3.00,8.1,,8.7,0.8,0.1,0.6,6.00,1.8,1.00,0.9,1.4,0,8.30,0.00,5.20,6.50,0,0.5,7.60,5.20,5.2,0,4.60,7.60,5.20,8.1,4.40,4.70,2.10,5.00,5.00,5.00,5.00,37,26,98,89,1,95,66,79,40,60,44
FORTESCUE METALS GROUP LTD,FMG,AU000000FMG4,AU,20181001,Steel,5.6,4.3,2.1,6.9,7.4,4.3,1.00,1.40,6.90,,7.4,,4.3,8.1,10,5.8,0.30,9.2,2.50,9.5,8.7,0,5.00,13.00,6.90,4.90,16,4.5,5.30,4.20,3.9,2.9,9.20,0.10,4.20,7.4,5.30,6.10,4.40,5.00,5.00,5.00,5.00,35,23,70,35,1,85,34,99,97,60,44
HUTCHISON TELECOMMUNICATIONS (AUSTRALIA) LIMITED,HTA,AU000000HTA8,AU,20181001,Wireless Telecommunication Services,2.7,3.3,3.8,1.9,3.9,7.6,4.40,,1.90,,1.4,5.90,7.6,3.6,2.4,3.2,4.40,3.6,1.00,3.5,3.4,0.8,1.90,27.00,9.60,4.50,0,2.9,6.80,2.60,6,2,5.40,2.30,0.70,1.4,5.90,5.80,4.70,4.20,4.20,3.30,3.30,73,68,0,0,4,2,2,20,9,92,94
TEN NETWORK HOLDINGS LIMITED,TENYY,AU0000TENYY6,AU,20181001,"Broadcasting, Cable & Satellite",2.4,4.1,9,5.2,3.3,9,5.30,,5.20,,1.4,4.80,9,1.9,0.6,1.5,5.30,2.7,1.00,1.9,2.4,0,5.20,29.00,5.10,3.30,0,1.5,7.70,0.90,6.7,0.3,1.60,7.40,2.00,1.4,4.80,5.40,3.20,5.00,5.00,5.00,5.00,12,13,26,11,4,2,0,1,3,29,4
COMPUTERSHARE LIMITED,CPU,AU000000CPU5,AU,20181001,Software & Services,6.5,5,10,3.4,7.3,10,7.60,,2.70,4.10,7.3,,10,1.6,2,1.7,7.60,2.7,3.30,1.5,2.8,0,5.40,0.00,6.40,4.80,0,0.5,8.30,4.00,3.7,0.9,4.10,7.20,4.30,7.3,4.90,4.90,2.80,5.00,5.00,5.00,5.00,46,38,86,61,1,84,31,79,40,37,11
AGL ENERGY LIMITED,AGL,AU000000AGL7,AU,20181001,Utilities,4.3,5.1,4.2,5.5,8.3,3.6,2.20,3.60,5.50,,8.3,,3.6,10,6.3,3.1,2.20,9.7,4.90,7,8.6,3.8,9.60,0.00,5.90,8.50,0,3,7.30,5.80,5.2,3.4,9.10,2.90,5.00,8.3,7.50,5.30,5.80,5.00,5.00,5.00,5.00,70,64,99,95,1,99,91,72,6,92,83
CIMIC GROUP LIMITED,CIM,AU000000CIM7,AU,20181001,Construction & Engineering,5.6,4.2,3.5,7,2.9,10,6.70,,7.00,,4.5,1.90,10,2.6,2.2,3.1,6.70,4.2,3.90,2.9,3.9,5.3,0.00,0.00,9.70,2.40,28,6.5,6.10,5.00,4.8,1.6,8.30,0.00,3.30,4.5,1.90,8.50,3.40,3.70,3.70,5.00,5.00,62,57,13,1,3,29,1,38,1,76,56
CALTEX AUSTRALIA LIMITED,CTX,AU000000CTX1,AU,20181001,"Oil & Gas Refining, Marketing, Transportation & Storage",8.2,6.7,5.8,7.5,8.6,6.1,5.60,6.50,7.50,,8.6,,6.1,6.1,2.8,5.7,5.60,5.1,3.70,4.9,3.2,2.4,5.90,0.00,6.60,5.50,20,2,5.40,2.00,4.8,6,9.20,0.60,4.20,8.6,6.60,4.70,4.30,4.20,4.20,4.20,4.20,87,90,99,95,1,99,89,79,40,60,44
Domino's Pizza Enterprises Ltd,DMP,AU000000DMP0,AU,20181001,Restaurants,0,3.5,4.4,2.3,6.9,5.7,3.70,,0.00,4.10,6.9,,5.7,3.3,1.6,4,2.30,5.7,1.00,3.2,3.7,0,0.00,23.00,8.10,0.20,0,1.7,5.70,0.00,5.4,8.7,8.00,2.30,3.30,6.9,5.20,5.00,3.20,4.20,4.20,5.00,5.00,45,36,52,17,2,75,15,99,97,45,24
TOLL HOLDINGS LIMITED,THKUF,AU000000TOL1,AU,20181001,Air Freight & Logistics,3.9,4.7,6.6,4.1,6,6.6,6.00,,2.90,5.40,6,,8.3,0.8,0.3,0.8,6.00,1.9,1.00,0.9,1.4,0,3.50,17.00,5.40,1.90,0,0.5,7.50,2.70,5.7,0.4,4.80,7.00,4.80,6,1.50,6.40,0.90,2.50,2.50,5.00,5.00,55,56,45,95,3,53,97,99,100,28,92
BLUESCOPE STEEL LIMITED,BSL,AU000000BSL0,AU,20181001,Steel,8.1,5.4,3.6,6.2,8.9,1.8,6.50,3.20,6.20,,8.9,,1.8,7.4,7.6,8.6,6.50,5.8,5.30,5,8.6,0.8,4.30,16.00,9.70,7.00,18,5.8,6.40,7.00,4.8,5.9,7.40,2.90,3.30,8.9,5.90,5.40,4.30,5.00,5.00,5.00,5.00,64,60,99,95,1,100,96,79,40,98,96
BORAL LIMITED,BLD,AU000000BLD2,AU,20181001,Construction Materials,7.5,5.5,3.5,7.8,8.2,4.1,6.20,2.70,7.80,,8.2,,4.1,7.1,5.4,7.7,6.70,5.3,5.00,5.5,7.7,2,4.50,0.00,8.50,6.00,25,5.6,4.80,4.50,4.3,5.5,8.80,2.40,4.20,8.2,6.60,6.50,6.10,5.00,5.00,5.00,5.00,37,27,100,98,1,95,69,79,40,54,34
BRADKEN LIMITED,BRKNF,AU000000BKN3,AU,20181001,Construction & Farm Machinery & Heavy Trucks,6.8,5.3,5.6,6.5,2.4,10,10.00,5.50,6.50,,2.4,,10,2.5,1.1,5.3,10.00,3.4,6.50,3,6.9,3.4,6.50,22.00,5.50,5.00,17,3.7,5.50,6.70,5.6,6.5,8.40,2.80,4.20,2.4,5.40,6.50,4.90,5.00,5.00,5.00,5.00,5,5,9,25,4,4,12,44,42,28,92
COCA-COLA AMATIL LIMITED,CCL,AU000000CCL2,AU,20181001,Beverages,8.5,6.5,6.5,5.9,7.9,6.5,6.20,7.30,7.20,,7.9,,10,3.7,1.5,6.9,6.20,6.2,5.40,3.9,2.9,0,8.00,0.00,6.80,7.80,18,5,3.90,7.50,6.6,3.3,8.40,2.80,4.20,7.9,6.50,4.90,4.40,5.00,5.00,5.00,5.00,35,22,92,73,1,93,58,99,97,45,25
FLIGHT CENTRE TRAVEL GROUP LIMITED,FLT,AU000000FLT9,AU,20181001,Hotels & Travel,4.7,4.5,7.5,2.6,8.3,7.5,5.20,,1.70,3.80,8.3,,7.5,2.5,1.2,1.7,5.20,3.1,1.30,1.5,0.2,0,1.70,37.00,7.50,2.20,0,0.8,4.10,2.50,2.7,1.7,3.80,7.40,4.20,8.3,7.30,5.50,5.80,5.00,5.00,3.70,3.70,59,54,98,89,1,97,79,99,97,54,34
JUPITER ENERGY LIMITED,JPR,AU000000JPR6,AU,20181001,Oil & Gas Exploration & Production,6.5,5,10,3.4,7.3,10,7.60,,2.70,4.10,7.3,,10,1.6,2,1.7,7.60,2.7,3.30,1.5,2.8,0,5.40,0.00,6.40,4.80,0,0.5,8.30,4.00,3.7,0.9,4.10,7.20,4.30,7.3,4.90,4.90,2.80,5.00,5.00,5.00,5.00,46,38,86,61,1,84,31,79,40,37,11
MIRVAC GROUP,MGR,AU0000MGRXX1,AU,20181001,Real Estate Management & Services,10,7.7,7.1,7.7,8.5,9,8.90,,7.20,9.10,8.5,,9,4.3,0.3,2.3,8.90,4.4,6.30,2.3,1.3,2.2,10.00,0.00,3.80,8.00,20,2.4,8.60,5.90,4.4,1.8,9.20,0.00,4.20,8.5,7.50,4.80,5.30,5.00,5.00,5.00,5.00,38,29,99,95,1,98,83,79,40,92,83
REA GROUP LTD,REA,AU000000REA9,AU,20181001,Software & Services,2.2,3.4,8.8,1.6,6.6,8.8,5.20,,3.20,0.30,6.6,,8.8,2.5,2.8,1.9,5.20,2.8,1.00,1.8,2.9,5.1,8.20,0.00,6.10,7.30,0,0.4,9.30,5.50,2.9,0.9,0.30,9.20,2.50,6.6,5.60,4.60,3.20,5.00,5.00,5.00,5.00,42,32,48,14,2,69,11,99,97,41,16
WOOLWORTHS GROUP LIMITED,WOW,AU000000WOW2,AU,20181001,Retail - Food & Staples,5.6,4.6,4.7,3.5,8,2.7,6.60,,3.20,3.40,8,,10,3.2,2.1,7.4,7.90,3.5,4.40,2.2,2.2,0,3.20,21.00,10.00,6.20,0,2.1,2.30,7.10,7.5,6,5.00,6.20,4.20,8,8.80,4.30,6.10,4.20,4.20,5.00,5.00,73,76,98,89,1,94,64,79,40,41,16
STOCKLAND CORPORATION LTD,SGP,AU000000SGP0,AU,20181001,Real Estate Management & Services,10,7.7,7.1,7.7,8.4,9.8,9.30,,8.40,5.70,8.4,,9.8,4.2,0.4,2.4,9.30,4.4,6.70,2.3,1.3,2.2,10.00,0.00,3.90,8.00,20,2.6,8.40,8.20,4.7,1.8,10.00,0.00,5.80,8.4,10.00,4.90,8.20,5.00,5.00,5.00,5.00,43,34,98,89,1,97,79,72,6,92,83
TOYOTA FINANCE AUSTRALIA LIMITED,TOYOM,XS1801780583,AU,20181001,Consumer Finance,5.3,4.6,6.4,3.1,4.5,6.6,7.80,,3.60,2.70,4.5,,10,2.3,1.3,6.03,7.80,3.7,4.60,3.1,6.7,6.1,3.60,21.00,8.80,5.40,0,3.2,6.00,5.90,9.5,8.1,8.80,3.20,5.00,4.5,6.60,6.70,6.30,4.20,4.20,4.20,4.20,15,16,23,71,2,25,74,23,20,92,99
GE CAPITAL AUSTRALIA FUNDING PTY LTD,GE,AU3CB0213098,AU,20181001,Industrial Conglomerates,6.3,4.7,6.7,2.2,4.8,10,9.40,,2.20,,3.5,5.90,10,2.2,1.2,3.7,9.40,3.5,5.90,3.3,5.2,5.2,2.20,24.00,9.80,5.00,0,2.8,6.30,5.80,7.7,7.3,9.60,3.20,5.80,3.5,5.90,7.10,6.00,2.50,2.50,5.00,5.00,1,1,13,4,3,12,5,53,87,76,70
JOHN DEERE FINANCIAL LIMITED,,AU3CB0226256,AU,20181001,Construction & Farm Machinery & Heavy Trucks,6.2,5.4,5,5.8,5.4,10,10.00,5.30,5.80,,5.4,,10,2.2,1,4.9,10.00,3.6,6.70,2.7,6.2,4.3,4.20,22.00,8.40,5.60,17,3.6,4.90,3.40,6.8,8.5,8.40,3.60,5.00,5.4,4.40,6.70,4.10,5.00,5.00,5.00,5.00,6,6,42,26,2,40,30,53,87,76,70
CATERPILLAR FINANCIAL AUSTRALIA LIMITED,CAT,AU3CB0244614,AU,20181001,Construction & Farm Machinery & Heavy Trucks,7.6,6.2,6.2,6,6.6,10,8.30,6.20,6.00,,6.6,,10,2.1,0.9,4.4,8.30,3.4,4.70,3.1,6,4.9,4.00,22.00,9.00,6.00,17,3.7,5.60,4.20,6.6,6.5,7.90,3.30,4.20,6.6,3.70,7.30,4.00,3.70,3.70,5.00,5.00,13,13,66,56,1,68,71,53,87,94,93
HOLCIM FINANCE (AUSTRALIA) PTY LTD,,AU3CB0244960,AU,20181001,Construction Materials,5.7,4.6,4,4.5,6.7,4.4,5.20,2.60,4.50,,6.7,,4.4,8.3,7.6,9.1,7.90,5.3,6.20,5.7,8.2,2.1,2.80,0.00,8.90,4.70,21,7.2,3.80,5.10,6.3,3.3,5.30,2.50,0.80,6.7,4.00,7.80,4.80,5.00,5.00,3.70,3.70,17,8,43,28,1,71,36,100,100,81,84
APOLLO SERIES 2004-1E TRUST,,XS0187215461,AU,20181001,Property & Casualty Insurance,5.1,4.3,3.7,3.4,8.1,3.7,6.00,,4.60,3.00,8.1,,8.7,0.8,0.1,0.6,6.00,1.8,1.00,0.9,1.4,0,8.30,0.00,5.20,6.50,0,0.5,7.60,5.20,5.2,0,4.60,7.60,5.20,8.1,4.40,4.70,2.10,5.00,5.00,5.00,5.00,37,26,98,89,1,95,66,79,40,60,44
The Trustee for Apollo Series 2003-2 Trust,,AU300AL20124,AU,20181001,Property & Casualty Insurance,5.1,4.3,3.7,3.4,8.1,3.7,6.00,,4.60,3.00,8.1,,8.7,0.8,0.1,0.6,6.00,1.8,1.00,0.9,1.4,0,8.30,0.00,5.20,6.50,0,0.5,7.60,5.20,5.2,0,4.60,7.60,5.20,8.1,4.40,4.70,2.10,5.00,5.00,5.00,5.00,37,26,98,89,1,95,66,79,40,60,44
AUSNET SERVICES HOLDINGS PTY LTD,AST,XS1550170077,AU,20181001,Utilities,6.3,6,6.3,4.3,6.4,9.3,5.40,6.40,4.30,,6.4,,9.3,2,6.4,3.7,6.40,0.6,1.40,5.7,3.4,3.4,6.60,0.00,5.70,5.30,0,3.1,7.20,4.50,3.9,4.2,7.50,1.80,2.50,6.4,6.70,5.30,5.00,5.00,5.00,5.00,5.00,49,45,43,11,2,79,22,99,97,92,83
IAG FINANCE (NEW ZEALAND) LIMITED,,AU00000IANG1,AU,20181001,Property & Casualty Insurance,8,5.3,6.1,4,7.9,6.1,7.10,,5.10,3.30,7.9,,10,0.8,0.1,0.6,7.10,1.6,2.10,0.9,1.4,0,7.40,0.00,4.50,4.90,0,0.5,7.90,6.00,5.1,0,2.80,7.70,3.50,7.9,9.80,4.70,7.50,5.00,5.00,5.00,5.00,6,1,99,95,1,92,55,79,40,92,83
APOLLO SERIES 2005-2 TRUST.,,AU0000APQHA0,AU,20181001,Property & Casualty Insurance,5.1,4.3,3.7,3.4,8.1,3.7,6.00,,4.60,3.00,8.1,,8.7,0.8,0.1,0.6,6.00,1.8,1.00,0.9,1.4,0,8.30,0.00,5.20,6.50,0,0.5,7.60,5.20,5.2,0,4.60,7.60,5.20,8.1,4.40,4.70,2.10,5.00,5.00,5.00,5.00,37,26,98,89,1,95,66,79,40,60,44
AAI LIMITED,,AU3FN0032710,AU,20181001,Property & Casualty Insurance,5.1,4.3,3.7,3.4,8.1,3.7,6.00,,4.60,3.00,8.1,,8.7,0.8,0.1,0.6,6.00,1.8,1.00,0.9,1.4,0,8.30,0.00,5.20,6.50,0,0.5,7.60,5.20,5.2,0,4.60,7.60,5.20,8.1,4.40,4.70,2.10,5.00,5.00,5.00,5.00,37,26,98,89,1,95,66,79,40,60,44
APOLLO SERIES 2006-1E TRUST,,XS0253863889,AU,20181001,Property & Casualty Insurance,5.1,4.3,3.7,3.4,8.1,3.7,6.00,,4.60,3.00,8.1,,8.7,0.8,0.1,0.6,6.00,1.8,1.00,0.9,1.4,0,8.30,0.00,5.20,6.50,0,0.5,7.60,5.20,5.2,0,4.60,7.60,5.20,8.1,4.40,4.70,2.10,5.00,5.00,5.00,5.00,37,26,98,89,1,95,66,79,40,60,44
FMG RESOURCES (AUGUST 2006) PTY LTD,,USQ3919KAJ09,AU,20181001,Steel,5.6,4.3,2.1,6.9,7.4,4.3,1.00,1.40,6.90,,7.4,,4.3,8.1,10,5.8,0.30,9.2,2.50,9.5,8.7,0,5.00,13.00,6.90,4.90,16,4.5,5.30,4.20,3.9,2.9,9.20,0.10,4.20,7.4,5.30,6.10,4.40,5.00,5.00,5.00,5.00,35,23,70,35,1,85,34,99,97,60,44
APT PIPELINES LIMITED,AUPIP,USQ04578AD42,AU,20181001,"Oil & Gas Refining, Marketing, Transportation & Storage",10,6.9,4.4,10,8.3,5.1,3.60,6.20,10.00,,8.3,,5.1,5.2,9.5,3.2,4.20,3.8,1.00,7.7,7.1,0.3,6.10,0.00,5.70,4.80,28,3.6,7.50,4.00,4,3.3,7.80,2.50,3.30,8.3,4.50,5.40,2.90,5.00,5.00,5.00,5.00,39,30,89,67,1,97,76,99,97,92,83
PACCAR FINANCIAL PTY. LTD.,,AU3CB0256527,AU,20181001,Construction & Farm Machinery & Heavy Trucks,5,4.8,4.2,5.2,5.3,10,4.50,4.50,5.20,,5.3,,10,2.4,1.7,5.3,4.50,3.5,1.00,3,6.4,6.1,4.20,22.00,6.80,4.00,17,3.1,5.70,1.70,9.2,7.8,3.40,3.60,0.00,5.3,4.30,6.60,3.90,5.00,5.00,5.00,5.00,24,27,32,17,2,39,29,48,79,76,70
INSURANCE AUSTRALIA LIMITED,,AU3FN0022364,AU,20181001,Property & Casualty Insurance,8,5.3,6.1,4,7.9,6.1,7.10,,5.10,3.30,7.9,,10,0.8,0.1,0.6,7.10,1.6,2.10,0.9,1.4,0,7.40,0.00,4.50,4.90,0,0.5,7.90,6.00,5.1,0,2.80,7.70,3.50,7.9,9.80,4.70,7.50,5.00,5.00,5.00,5.00,6,1,99,95,1,92,55,79,40,92,83
BRAMBLES FINANCE PLC,,XS1577950667,AU,20181001,Commercial Services & Supplies,10,9,9.1,10,8.5,10,8.60,,10.00,,7.9,9.20,10,2,1.2,2,10.00,2.4,6.90,2.6,3.8,2.1,10.00,22.00,5.30,8.60,0,4.2,3.60,7.50,4.4,1.9,10.00,2.70,5.80,7.9,9.20,5.20,7.40,5.00,5.00,5.00,5.00,27,13,82,53,1,92,54,99,97,81,69
BRAMBLES FINANCE LIMITED,,XS1028952312,AU,20181001,Commercial Services & Supplies,10,9,9.1,10,8.5,10,8.60,,10.00,,7.9,9.20,10,2,1.2,2,10.00,2.4,6.90,2.6,3.8,2.1,10.00,22.00,5.30,8.60,0,4.2,3.60,7.50,4.4,1.9,10.00,2.70,5.80,7.9,9.20,5.20,7.40,5.00,5.00,5.00,5.00,27,13,82,53,1,92,54,99,97,81,69
CIMIC FINANCE (USA) PTY LTD,CIM,US52535PAA75,AU,20181001,Construction & Engineering,5.6,4.2,3.5,7,2.9,10,6.70,,7.00,,4.5,1.90,10,2.6,2.2,3.1,6.70,4.2,3.90,2.9,3.9,5.3,0.00,0.00,9.70,2.40,28,6.5,6.10,5.00,4.8,1.6,8.30,0.00,3.30,4.5,1.90,8.50,3.40,3.70,3.70,5.00,5.00,62,57,13,1,3,29,1,38,1,76,56
RECALL HOLDINGS LIMITED,RLHCY,US75618L1098,AU,20181001,Commercial Services & Supplies,8.4,5.9,10,4.9,7.2,10,6.10,,3.80,6.00,7.2,,10,1.7,1.9,1.8,6.10,2.8,1.90,1.7,2.7,0.9,5.90,0.00,6.20,5.10,0,0.6,9.00,5.80,4.2,0.8,6.00,6.80,5.80,7.2,7.80,5.00,5.80,5.00,5.00,5.00,5.00,14,15,98,98,1,82,90,44,72,92,89
SUNCORP-METWAY LIMITED,,AU0000SBKHB3,AU,20181001,Property & Casualty Insurance,5.1,4.3,3.7,3.4,8.1,3.7,6.00,,4.60,3.00,8.1,,8.7,0.8,0.1,0.6,6.00,1.8,1.00,0.9,1.4,0,8.30,0.00,5.20,6.50,0,0.5,7.60,5.20,5.2,0,4.60,7.60,5.20,8.1,4.40,4.70,2.10,5.00,5.00,5.00,5.00,37,26,98,89,1,95,66,79,40,60,44
